"ano_mes","focos","media_dias_sem_chuva","sd_dias_sem_chuva","precipitacao_total","sd_precipitacao_total","precipitacao_media","sd_precipitacao_media"
"2022-08",606986,14.0034832622234,22.4761938117772,404387.53,NA,0.697356946020425,NA
"2022-09",803312,12.0849081625887,22.766065596891,1343286.9,NA,1.70860339103779,NA
"2022-10",351442,3.99361221581113,4.77656789290053,758809.73,NA,2.1591321754372,NA
"2022-11",154464,3.29616281077348,2.55050388272123,232044.18,NA,1.65659463279861,NA
"2022-12",30308,5.63027322404372,11.6821308147257,35279.31,NA,1.91319468546638,NA
"2023-01",11289,2.84359430604982,3.46947897360033,30835.43,NA,2.73145805651519,NA
"2023-02",5537,3.27141308276111,3.68903145941662,15696.81,NA,2.83489434711938,NA
"2023-03",15457,3.39722164913005,3.13490408816541,18947.13,NA,1.3027454620462,NA
"2023-04",9006,6.23029898855174,4.85591437909082,13667.8,NA,1.51763268931823,NA
"2023-05",19402,7.26024854328882,5.44659568715286,9042.61,NA,0.46606586949799,NA
"2023-06",46165,18.6770760945101,12.6960163612257,8245.77,NA,0.178615184663706,NA
"2023-07",141130,27.0609198341003,22.7032285470575,27743,NA,0.196577623467725,NA
"2023-08",421481,13.678220129376,22.2328370026996,637826.66,NA,1.51329872520944,NA
"2023-09",569706,5.75873898605269,7.86371346291762,851037.01,NA,1.49381788150379,NA
"2023-10",482557,5.16906800584138,5.35013510185111,607348.47,NA,1.25860462080127,NA
"2023-11",331847,6.88037394214961,5.98373356349726,262032.39,NA,0.789618077005367,NA
"2023-12",58721,2.87400395835126,3.52450700738464,184062.5,NA,3.13452597878102,NA
"2024-01",53074,9.49478744462249,8.31996920992994,41885.06,NA,0.789182273806384,NA
"2024-02",116702,12.2415740447156,6.72975356685837,32197.25,NA,0.275892872444346,NA
"2024-03",79859,12.5431208284809,10.382341955788,56222.87,NA,0.704026722097697,NA
"2024-04",16328,4.45207325289398,2.80232231750934,24135.16,NA,1.47814551690348,NA
"2024-05",32209,14.8597292093659,9.42780431506962,7377.96,NA,0.229065168120712,NA
"2024-06",70530,32.2480774142286,17.406992844724,5989.23,NA,0.0849174819225861,NA
"2024-07",290394,27.3753809766794,21.3611366274337,8853.21,NA,0.0304868902250047,NA
"2024-08",1164433,33.2094380314246,31.7730050212086,211426.85,NA,0.181570644253469,NA
"2024-09",1227753,35.9961647382871,38.8208338443418,557846.66,NA,0.454363915217475,NA
"2024-10",425820,7.273304044971,17.6711848684974,646195.74,NA,1.51753261941665,NA
"2024-11",358977,5.55646307228428,5.45354687621952,225418.16,NA,0.62794596868323,NA
"2024-12",86589,6.91618926113571,6.84796964224513,151498.88,NA,1.83517110220101,NA
