"dias_chuva_mensal";"precip_total_mensal_mm";"temp_media_mensal_c";"ano";"mes"
22.0;180.6;25.0;2019;1
24.0;338.2;25.3;2019;2
24.0;291.4;25.4;2019;3
18.0;215.8;25.6;2019;4
9.0;60.2;26.0;2019;5
0.0;0.0;25.4;2019;6
4.0;35.0;25.0;2019;7
1.0;2.8;25.5;2019;8
4.0;19.2;27.1;2019;9
16.0;120.6;25.7;2019;10
15.0;178.2;25.4;2019;11
20.0;113.2;25.6;2019;12
23.0;183.6;25.4;2020;1
21.0;254.4;25.4;2020;2
25.0;582.2;25.6;2020;3
20.0;241.6;25.7;2020;4
3.0;;26.7;2020;5
;;;2020;6
;;;2020;7
;;;2020;8
;;;2020;9
;;;2020;10
;;;2020;11
;;;2020;12
;;;2021;1
;;;2021;2
;;;2021;3
;;;2021;4
;;;2021;5
;;;2021;6
;;;2021;7
;;;2021;8
;;;2021;9
;;;2021;10
;;;2021;11
;;;2021;12
;;;2022;1
;;;2022;2
;;;2022;3
4.0;;;2022;4
2.0;;25.7;2022;5
6.0;14.4;25.1;2022;6
;;25.6;2022;7
0.0;0.0;26.3;2022;8
3.0;;26.7;2022;9
5.0;;27.2;2022;10
18.0;;25.0;2022;11
21.0;330.2;24.7;2022;12
26.0;241.4;24.8;2023;1
15.0;;25.2;2023;2
14.0;;;2023;3
20.0;145.8;25.5;2023;4
13.0;168.6;26.0;2023;5
;0.0;25.8;2023;6
;;25.2;2023;7
2.0;;26.6;2023;8
4.0;;27.4;2023;9
11.0;64.0;26.7;2023;10
13.0;112.4;26.6;2023;11
13.0;;26.4;2023;12
22.0;;26.1;2024;1
18.0;;25.7;2024;2
25.0;272.6;26.4;2024;3
13.0;;26.8;2024;4
2.0;;27.0;2024;5
;;26.3;2024;6
1.0;3.4;25.4;2024;7
1.0;24.4;26.7;2024;8
2.0;;27.8;2024;9
9.0;;27.8;2024;10
9.0;;26.8;2024;11
13.0;;25.7;2024;12
13.0;134.2;25.0;2015;1
20.0;291.0;23.4;2015;2
21.0;264.8;23.4;2015;3
26.0;351.4;23.7;2015;4
10.0;38.2;24.4;2015;5
0.0;0.0;24.1;2015;6
;;24.5;2015;7
;;;2015;8
4.0;;27.9;2015;9
11.0;90.4;28.0;2015;10
14.0;106.8;26.0;2015;11
13.0;159.6;26.1;2015;12
26.0;364.4;23.4;2016;1
5.0;24.0;26.2;2016;2
20.0;53.8;25.5;2016;3
4.0;4.4;26.3;2016;4
0.0;0.0;26.5;2016;5
0.0;0.0;25.1;2016;6
0.0;0.0;25.2;2016;7
0.0;0.0;27.0;2016;8
3.0;0.6;27.1;2016;9
;;26.8;2016;10
;;26.3;2016;11
;;24.9;2016;12
;;24.4;2017;1
